price,mileage,year,make,model,trim,distance from zip
"$17,500","85,939 mi.",2018,BMW,5-Series,"['530i', '4dr', 'Sedan']",(26 mi. from 33186)
"$17,800","65,030 mi.",2018,BMW,4-Series,"['430i', 'xDrive', 'Gran']",(1 mi. from 33186)
"$18,995","92,400 mi.",2018,BMW,X5,"['xDrive40e', 'Hybrid', 'xDrive40e']",(26 mi. from 33186)
"$18,999","129,349 mi.",2018,Chevrolet,Tahoe,['LT'],(1 mi. from 33186)
"$21,749","56,928 mi.",2018,Chrysler,Pacifica,"['Touring', 'L', 'FWD']",(26 mi. from 33186)
"$33,748","3,217 mi.",2018,Kia,Sedona,['SXL'],(13 mi. from 33186)
"$149,800","9,873 mi.",2018,McLaren,570,['Spider'],(1 mi. from 33186)
"$11,699","74,053 mi.",2017,Chevrolet,Malibu,['LS'],(1 mi. from 33186)
"$17,699","106,157 mi.",2017,GMC,Sierra,"['1500', 'SLT']",(1 mi. from 33186)
"$25,800","28,050 mi.",2017,Mercedes-Benz,SL-Class,"['AMG', 'SLC', '43']",(26 mi. from 33186)
"$26,999","94,799 mi.",2017,Jaguar,F-Type,"['Premium', '2dr', 'Coupe']",(26 mi. from 33186)
"$28,000","27,000 mi.",2017,Audi,TT,[],(26 mi. from 33186)
"$2,875,000",146 mi.,2017,Lamborghini,Centenario,['Roadster'],(1 mi. from 33186)
Inquire,"233,651 mi.",2017,Ford,F-250,[],(26 mi. from 33186)
"$7,994","82,482 mi.",2016,Kia,Soul,['Plus'],(1 mi. from 33186)
"$14,386","68,208 mi.",2016,Audi,A3,"['2dr', 'Cabriolet', 'quattro']",(26 mi. from 33186)
"$16,899","37,857 mi.",2016,Hyundai,Genesis,['R-Spec'],(1 mi. from 33186)
"$17,900","119,254 mi.",2016,Nissan,NV,"['1500', 'S']",(1 mi. from 33186)
"$17,986","71,622 mi.",2016,Buick,Cascada,"['2dr', 'Convertible', 'Premium']",(26 mi. from 33186)
"$22,995","70,100 mi.",2016,Land,Rover,"['Range', 'Rover', 'Sport']",(1 mi. from 33186)
"$27,999","83,445 mi.",2016,Porsche,Panamera,"['4', 'Edition']",(1 mi. from 33186)
"$28,999","90,026 mi.",2016,Jeep,Wrangler,"['Willys', 'Wheeler', '4x4']",(26 mi. from 33186)
"$5,499","106,830 mi.",2015,Chrysler,200,"['Series', 'S']",(1 mi. from 33186)
"$9,399","74,621 mi.",2015,Infiniti,Q40,[],(1 mi. from 33186)
"$13,500","93,856 mi.",2015,Jaguar,XJ,"['Portfolio', '4dr', 'Sedan']",(26 mi. from 33186)
"$13,500","102,236 mi.",2015,Mercedes-Benz,E-Class,"['E', '400', '4dr']",(26 mi. from 33186)
"$14,986","102,111 mi.",2015,Audi,A8,"['4dr', 'Sedan', '3.0T']",(26 mi. from 33186)
"$32,986","58,688 mi.",2015,Mercedes-Benz,S-Class,"['4dr', 'Sedan', 'S']",(26 mi. from 33186)
"$3,000","141,402 mi.",2014,Volkswagen,Jetta,"['2.0L', 'S']",(1 mi. from 33186)
"$9,000","112,171 mi.",2014,Honda,Civic,"['LX', 'Sedan', '4D']",(13 mi. from 33186)
"$10,499","58,229 mi.",2014,Ford,Fusion,"['SE', 'LOW', '58K']",(13 mi. from 33186)
"$12,886","136,277 mi.",2014,Audi,Q7,"['quattro', '4dr', '3.0L']",(26 mi. from 33186)
"$22,995","51,131 mi.",2014,Land,Rover,"['Range', 'Rover', 'Sport']",(13 mi. from 33186)
"$7,898","46,344 mi.",2013,Mercedes-Benz,C-Class,"['C', '250']",(1 mi. from 33186)
"$8,900","74,339 mi.",2013,Toyota,Corolla,['LE'],(13 mi. from 33186)
"$10,900","132,115 mi.",2013,Mercedes-Benz,E-Class,"['E350', 'W/', 'SPORT']",(13 mi. from 33186)
"$15,000","111,948 mi.",2013,Jaguar,XK,"['Base', '2dr', 'Convertible']",(26 mi. from 33186)
"$16,986","44,354 mi.",2013,Audi,TT,"['2dr', 'Roadster', 'S']",(26 mi. from 33186)
"$17,600","96,553 mi.",2013,Porsche,Cayenne,"['S', 'AWD', '4dr']",(26 mi. from 33186)
"$17,995","60,800 mi.",2013,Mercedes-Benz,CLS-Class,"['CLS', '550', '4MATIC']",(13 mi. from 33186)
"$17,995","73,254 mi.",2013,Tesla,Model,"['S', '60']",(13 mi. from 33186)
"$8,000","117,094 mi.",2012,Mercedes-Benz,C250,['250'],(13 mi. from 33186)
"$9,500","133,724 mi.",2012,Audi,A6,"['4dr', 'Sedan', 'quattro']",(13 mi. from 33186)
"$11,986","89,334 mi.",2012,Volvo,C70,['T5'],(26 mi. from 33186)
"$13,900","89,892 mi.",2012,BMW,5-Series,"['550I', 'xDRIVE', '-']",(13 mi. from 33186)
"$15,989","212,039 mi.",2012,Ford,F-150,"['2WD', 'SuperCrew', '145""']",(26 mi. from 33186)
"$22,986","107,125 mi.",2012,Porsche,Panamera,"['4dr', 'Hatchback', 'S']",(26 mi. from 33186)
"$59,900","18,999 mi.",2012,Nissan,GT-R,"['Black', 'Edition', 'Coupe']",(26 mi. from 33186)
"$79,900",244 mi.,2012,Chevrolet,Corvette,"['Centennial', 'Edition']",(1 mi. from 33186)
"$7,898","121,642 mi.",2011,Mercedes-Benz,C-Class,"['C', '300']",(1 mi. from 33186)
"$8,000","112,740 mi.",2011,Toyota,Camry,"['Special', 'Edition']",(1 mi. from 33186)
"$14,900","80,452 mi.",2011,BMW,7-Series,"['750Li', '-', '1']",(13 mi. from 33186)
"$15,786","80,931 mi.",2011,Porsche,Cayenne,"['AWD', '4dr', 'S']",(26 mi. from 33186)
"$18,725","132,248 mi.",2010,Lexus,GX,[],(26 mi. from 33186)
"$89,800","58,754 mi.",2010,Rolls-Royce,Ghost,"['4dr', 'Sedan']",(1 mi. from 33186)
"$7,900","161,757 mi.",2009,Saab,9-3,"['2.0T', 'WAGON', 'SPORTCOMBI']",(13 mi. from 33186)
"$10,986","104,051 mi.",2009,Mercedes-Benz,CLK-Class,"['CLK350', '2dr', 'Cabriolet']",(26 mi. from 33186)
"$28,986","35,665 mi.",2009,Porsche,Boxster,"['2dr', 'Roadster']",(26 mi. from 33186)
"$49,875","58,975 mi.",2009,Porsche,911,[],(26 mi. from 33186)
"$2,799","217,494 mi.",2008,Ford,Escape,['Limited'],(1 mi. from 33186)
"$9,999","223,117 mi.",2008,Toyota,4Runner,['SR5'],(1 mi. from 33186)
"$10,386","51,507 mi.",2008,Audi,A4,"['2dr', 'Cabriolet', 'CVT']",(26 mi. from 33186)
"$6,999","100,818 mi.",2007,Volvo,XC70,[],(13 mi. from 33186)
"$12,995","112,930 mi.",2007,Mercedes-Benz,SL-Class,"['SL550', 'AMG', 'Roadster']",(13 mi. from 33186)
"$13,986","163,330 mi.",2007,Toyota,FJ,"['Cruiser', '2WD', '4dr']",(26 mi. from 33186)
